exp,label,seed,n_train_cx,n_train_pairs,tau,top1,train_acc,val_acc,best_val_acc,best_epoch,overfit_gap,tau_ss_class_HELIX,top1_ss_class_HELIX,tau_ss_class_SHEET,top1_ss_class_SHEET,tau_ss_class_UNUSUAL,top1_ss_class_UNUSUAL,tau_length_bucket_long,top1_length_bucket_long,tau_length_bucket_medium,top1_length_bucket_medium,tau_length_bucket_short,top1_length_bucket_short,tau_length_bucket_very_long,top1_length_bucket_very_long
D_mixture_ratios,B75%G25%,2,555,33088,0.2692982456140351,4.241577777777777,0.7559999823570251,0.6346490979194641,0.6346490979194641,8,0.12135088443756104,,,,,,,,,,,,,,
D_mixture_ratios,B75%G25%,3,555,33088,0.2903508771929824,4.110941666666666,0.8044999837875366,0.6451754570007324,0.6451754570007324,30,0.1593245267868042,,,,,,,,,,,,,,
D_mixture_ratios,B75%G25%,4,555,33087,0.2964912280701754,4.105777777777778,0.7730000019073486,0.648245632648468,0.648245632648468,11,0.12475436925888062,,,,,,,,,,,,,,
D_mixture_ratios,B90%G10%,0,586,38978,0.23888888888888882,4.227883333333334,0.8080000281333923,0.6194444298744202,0.6194444298744202,38,0.18855559825897217,,,,,,,,,,,,,,
D_mixture_ratios,B90%G10%,1,586,38977,0.2830409356725146,4.178888888888888,0.753000020980835,0.6415204405784607,0.6415204405784607,23,0.11147958040237427,,,,,,,,,,,,,,
D_mixture_ratios,B90%G10%,2,586,38977,0.26461988304093564,4.048394444444445,0.6830000281333923,0.6323099136352539,0.6323099136352539,3,0.05069011449813843,,,,,,,,,,,,,,
D_mixture_ratios,B90%G10%,3,586,38977,0.3236842105263158,3.9522472222222214,0.7400000095367432,0.6618421077728271,0.6618421077728271,7,0.07815790176391602,,,,,,,,,,,,,,
D_mixture_ratios,B90%G10%,4,586,38977,0.2581871345029241,4.239930555555555,0.8044999837875366,0.629093587398529,0.629093587398529,28,0.17540639638900757,,,,,,,,,,,,,,
D_mixture_ratios,B100%G0%,0,606,42777,0.27690058479532165,4.04073611111111,0.7124999761581421,0.6384502649307251,0.6384502649307251,6,0.07404971122741699,,,,,,,,,,,,,,
D_mixture_ratios,B100%G0%,1,606,42777,0.2549707602339181,4.126233333333334,0.6790000200271606,0.6274853944778442,0.6274853944778442,5,0.051514625549316406,,,,,,,,,,,,,,
D_mixture_ratios,B100%G0%,2,606,42777,0.29385964912280704,4.030663888888889,0.7879999876022339,0.6469298005104065,0.6469298005104065,11,0.1410701870918274,,,,,,,,,,,,,,
F_router_cv,fold=0_gen_only,0,402,4020,0.14561403508771928,3.9837729166666667,0.7379999756813049,0.6207602620124817,0.6207602620124817,28,0.11723971366882324,0.2591093117408907,3.9001692307692304,0.20609418282548475,3.7226473684210526,-0.01842105263157895,4.3617875,0.18670360110803327,4.545263157894737,0.11695906432748535,3.058722222222222,-0.025910931174089068,3.07566923076923,0.3894736842105263,5.335557142857143
D_mixture_ratios,B100%G0%,3,606,42777,0.3108187134502924,4.1895138888888885,0.7584999799728394,0.6554093360900879,0.6554093360900879,12,0.10309064388275146,,,,,,,,,,,,,,
F_router_cv,fold=0_gen_only,1,402,4020,0.1513157894736842,4.0945833333333335,0.7975000143051147,0.6283625960350037,0.6283625960350037,46,0.16913741827011108,0.217004048582996,3.9666615384615387,0.20221606648199444,3.9783789473684212,0.037500000000000006,4.3365124999999995,0.20055401662049863,4.642073684210526,0.1309941520467836,3.0587999999999997,-0.00647773279352225,3.3352153846153842,0.33684210526315794,5.350514285714286
F_router_cv,fold=0_gen_only,2,402,4020,0.14583333333333334,3.9645020833333326,0.7885000109672546,0.6352339386940002,0.6352339386940002,44,0.1532660722732544,0.18056680161943323,4.069630769230769,0.20609418282548478,3.882731578947368,0.04605263157894737,3.9761875,0.21606648199445985,4.290815789473685,0.21403508771929827,2.828322222222222,0.024291497975708502,3.297223076923077,0.09323308270676692,5.778828571428572
D_mixture_ratios,B100%G0%,4,606,42777,0.2321637426900585,4.227627777777778,0.7319999933242798,0.6160818934440613,0.6160818934440613,5,0.1159180998802185,,,,,,,,,,,,,,
